Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.55     0.00       32     0.00     0.00  SIGpuMemConfigParseEntry
  0.00      2.55     0.00       32     0.00     0.00  arch_get
  0.00      2.55     0.00       32     0.00     0.00  dir_entry_get
  0.00      2.55     0.00       32     0.00     0.00  si_compute_unit_create
  0.00      2.55     0.00       32     0.00     1.82  si_compute_unit_free
  0.00      2.55     0.00       32     0.00     0.00  si_ndrange_const_buf_write
  0.00      2.55     0.00       32     0.00     0.00  x86_isa_cmp_ax_imm16_impl
  0.00      2.55     0.00       32     0.00     0.00  x86_isa_mul_rm32_impl
  0.00      2.55     0.00       31     0.00     0.00  x86_isa_cmovge_r32_rm32_impl
  0.00      2.55     0.00       30     0.00     0.00  x86_isa_jge_rel8_impl
  0.00      2.55     0.00       29     0.00     0.00  mod_coalesce
  0.00      2.55     0.00       29     0.00     0.00  mod_stack_wait_in_stack
  0.00      2.55     0.00       29     0.00     0.00  x86_file_desc_table_entry_get
  0.00      2.55     0.00       29     0.00     0.00  x86_isa_adc_rm32_imm8_impl
  0.00      2.55     0.00       28     0.00     0.00  str_map_value
  0.00      2.55     0.00       26     0.00     0.00  x86_isa_and_r32_rm32_impl
  0.00      2.55     0.00       25     0.00     0.00  X86ContextCheckSignalHandler
  0.00      2.55     0.00       23     0.00     0.00  opencl_abi_call
  0.00      2.55     0.00       23     0.00     0.00  runtime_abi_call
  0.00      2.55     0.00       23     0.00     0.00  runtime_get_from_syscall_code
  0.00      2.55     0.00       22     0.00     0.00  x86_isa_and_rm8_imm8_impl
  0.00      2.55     0.00       21     0.00     0.00  x86_sys_futex_impl
  0.00      2.55     0.00       20     0.00     0.00  elf_buffer_read_line
  0.00      2.55     0.00       20     0.00     0.00  hash_table_find_first
  0.00      2.55     0.00       20     0.00     0.00  si_isa_S_BUFFER_LOAD_DWORD_impl
  0.00      2.55     0.00       20     0.00     0.01  str_token_list_create
  0.00      2.55     0.00       20     0.00     0.00  str_token_list_free
  0.00      2.55     0.00       16     0.00     0.00  dir_entry_set_owner
  0.00      2.55     0.00       16     0.00     0.00  mod_stack_set_reply
  0.00      2.55     0.00       16     0.00     0.00  net_msg_create
  0.00      2.55     0.00       16     0.00     0.00  net_msg_free
  0.00      2.55     0.00       16     0.00     0.00  net_node_schedule
  0.00      2.55     0.00       16     0.00     0.00  net_receive
  0.00      2.55     0.00       16     0.00     0.00  net_stack_create
  0.00      2.55     0.00       16     0.00     0.00  net_try_send_ev
  0.00      2.55     0.00       16     0.00     0.00  si_isa_S_LSHR_B32_impl
