Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.55     0.00     8330     0.00     0.00  dir_entry_unlock
  0.00      0.55     0.00     8297     0.00     0.00  x86_isa_setg_rm8_impl
  0.00      0.55     0.00     8258     0.00     0.00  X86ContextDoubleToExtended
  0.00      0.55     0.00     8258     0.00     0.00  x86_isa_fld_m64_impl
  0.00      0.55     0.00     8194     0.00     0.00  X86ContextFloatToExtended
  0.00      0.55     0.00     8194     0.00     0.00  x86_isa_fld_m32_impl
  0.00      0.55     0.00     8193     0.00     0.00  x86_isa_fdivp_sti_st0_impl
  0.00      0.55     0.00     8192     0.00     0.00  x86_isa_fadd_m32_impl
  0.00      0.55     0.00     8192     0.00     0.00  x86_isa_fmul_m64_impl
  0.00      0.55     0.00     8046     0.00     0.00  x86_isa_and_rm32_imm8_impl
  0.00      0.55     0.00     8000     0.00     0.00  repos_create_object
  0.00      0.55     0.00     8000     0.00     0.00  repos_free_object
  0.00      0.55     0.00     8000     0.00     0.00  si_inst_decode
  0.00      0.55     0.00     8000     0.00     0.00  si_uop_create
  0.00      0.55     0.00     8000     0.00     0.00  si_uop_free
  0.00      0.55     0.00     8000     0.00     0.00  si_wavefront_execute
  0.00      0.55     0.00     7880     0.00     0.00  hash_table_get
  0.00      0.55     0.00     7809     0.00     0.00  list_add
  0.00      0.55     0.00     7052     0.00     0.00  mod_stack_set_reply
  0.00      0.55     0.00     6896     0.00     0.00  x86_isa_movzx_r32_rm8_impl
  0.00      0.55     0.00     6582     0.00     0.00  mod_handler_nmoesi_evict
  0.00      0.55     0.00     6427     0.00     0.00  x86_isa_jmp_rel8_impl
  0.00      0.55     0.00     5523     0.00     0.00  x86_isa_je_rel32_impl
  0.00      0.55     0.00     5248     0.00     0.00  mod_in_flight_address
  0.00      0.55     0.00     4994     0.00     0.00  mod_get_low_mod
  0.00      0.55     0.00     4733     0.00     0.00  mod_stack_set_peer
  0.00      0.55     0.00     4608     0.00     0.00  si_isa_V_MOV_B32_impl
  0.00      0.55     0.00     4570     0.00     0.00  str_single_spaces
  0.00      0.55     0.00     4566     0.00     0.00  str_trim
  0.00      0.55     0.00     4226     0.00     0.00  prefetcher_access_miss
  0.00      0.55     0.00     4176     0.00     0.00  x86_isa_leave_impl
  0.00      0.55     0.00     3979     0.00     0.00  x86_isa_cmp_rm32_imm32_impl
  0.00      0.55     0.00     3855     0.00     0.00  cache_set_block
  0.00      0.55     0.00     3348     0.00     0.00  dir_entry_set_owner
  0.00      0.55     0.00     3328     0.00     0.00  mod_handler_nmoesi_nc_store
  0.00      0.55     0.00     2960     0.00     0.00  x86_isa_shr_rm32_imm8_impl
  0.00      0.55     0.00     2950     0.00     0.00  __xstrdup
  0.00      0.55     0.00     2831     0.00     0.00  cache_replace_block
  0.00      0.55     0.00     2824     0.00     0.00  prefetcher_access_hit
  0.00      0.55     0.00     2766     0.00     0.00  mem_access
  0.00      0.55     0.00     2608     0.00     0.00  x86_isa_jae_rel8_impl
  0.00      0.55     0.00     2585     0.00     0.00  x86_isa_mov_rm8_r8_impl
  0.00      0.55     0.00     2556     0.00     0.00  x86_isa_sub_rm32_r32_impl
  0.00      0.55     0.00     2424     0.00     0.00  mod_get_retry_latency
  0.00      0.55     0.00     2403     0.00     0.00  mod_handler_nmoesi_peer
